"title","composer","a2","style","key","actualKey","actualStyle","actualTempo","actualRepeats","data"
"26-2","John Coltrane","","Medium Up Swing","F","","","0","0","*A[T44F^7 Ab7 |Db^7 E7 |A^7 C7 |C-7 F7 |Bb^7 Db7 |Gb^7 A7 |D-7 G7 |G-7 C7 ]*A[F^7 Ab7 |Db^7 E7 |A^7 C7 |C-7 F7 |Bb^7 Ab7 |Db^7 E7 |A^7 C7 |F^7   ]*B[C-7 F7 |E-7 A7 |D^7 F7 |Bb^7   |Eb-7   |Ab7   |Db^7   |G-7 C7 ]*A[F^7 Ab7 |Db^7 E7 |A^7 C7 |C-7 F7 |Bb^7 Ab7 |Db^7 E7 |A^7 C7 |F^7   Z"
"500 Miles High","Chick Corea","","Bossa Nova","E-","","","0","0","[T44E-7   | x  |G-7   | x  |Bb^7   | x  |Bh7   |E7#9   |A-7   | x  |F#h7   | x  |F-7   | x Q |C-7   | x  |B7#9   | x  Z        Y{QC-7   | x  |Ab^7   | x  }"
"502 Blues","Jimmy Rowles","","Waltz","A-","","","0","0","{T34A-7   |Db^7   |Bh7   |E7#9   |A-7   |Db^7   |Bh7   |E7#9   |C-7   |F7b9   |Bb^7   |Ab-7 Db7 |N1F#h7   |B7b9   |E^7#5   |E^7#5 E7 }|N2F#h7   |B7b9   |E-7   | x  Z"
"52nd Street Theme","Thelonious Monk","","Up Tempo Swing","C","","","0","0","{*AT44C A-7 |D-7 G7 |C A-7 |D-7 G7 |C A-7 |D-7 G7 |C G7 |C   }[*BC7,   | x  |F6   | x  |D7,   | x  |G7   | x  ][*AC, A-7 |D-7 G7 |C A-7 |D-7 G7 |C A-7 |D-7 G7 |C G7 |C   Z "
"9.20 Special","Earl Warren","","Medium Swing","C","","","0","0","{*AT44C9,   |Eb-6,   |C9,   |Eb-6   |Bb,   |sBb7,A7,Ab7,G7|N1lC9, F#o7, |C9, sAb7,G7}        |N2lC9, F#o7 |lC9, sF7,Bb][*BlBb,   |Eb, Eb6 |Eb6,   | x  |G9,   |F, F6, |F9,   |  F7 ][*AC9,   |Eb-6,   |C9,   |Eb-6,   |Bb,   |sBb7,A7,Ab7,G7|lC9, F#o7 ,|sC6,F7,Bb,D9Z "
"A Ballad","Gerry Mulligan","","Slow Swing","C","","","0","0","{*AT44D-7 G7b9 |C^7   |C#-7 F#7#9 |B^7   |E-7 sA7,Gh,|lF#-7 B7b9 |N1E-7 A7b9 |F#-7 B7b9 |E-7 G-6 |F#-7 Fo7 |E-7 A7b9 }N2D-7 G7 |E-7 A7b9 |D-7 F-^7 |E-7 Ebo7 |D-7 G7b9 |C^7   ]*BF-7 Bb7 |G-7 Gbo7 |F-7 Bb7b9 |Eb^7   |Eb-7 Ab7 |Db^7 E-7 |Eb-7 Ab7b9 |Db^7 sE-7,A7,[*AlD-7 G7b9 |C^7   |C#-7 F#7#9 |B^7   |E-7 sA7,Gh,|lF#-7 B7b9 |E-7 A7b9 |F#-7 B7b9 |E-7 G-6 |F#-7 Fo7 |E-7 A7b9 |D^7  Q ]    [Q<*69     Ending>D-7 G7 |E-7 A7#9 |lD7, Ab7 |sAbo,Ao,Bbo,Bo,|lC,Db^7 C^9  Z "
"A Beautiful Friendship","Donald Kahn","","Medium Swing","C","","","0","0","{*AT44C^7   |Gb7#11   |F^7   |Eh7 A7b9 |A-7   |D7   |D-7   |G7   }[*BG-7   |C7   |F^7   |Bb7   |E-7   |A7   |D7   |G7#5   ][*AC^7   |Gb7#11   |F^7   |Eh7 A7b9 |D-7   |G7   |C6 A7 |D7 G7 Z "
"A Blossom Fell","Barnes-Cornelius","","Ballad","Bb","","","0","0","[*AT44Bb6  sBo,|lC-7   |F7 F7#5 |Bb6   |Bb^7/D  sDbo,|lC-7 F7 |C-7 F7 |sBb6,Bo,F7/C,F7][*BlBb6  sBo,|lC-7   |lF7 F7#5 |Bb6 Bb7#5 |Eb^7   |Bb^7/D   |C-7   |Bb6 Bb7#5 |Eb^7 Eb-6 |Bb^7/D Dbo7 |C-7 F7 |Bb6 sC-7,F7Z "
"A Certain Smile","Fain-Webster","","Medium Swing","F","","","0","0","{*AT44G-7,   |C7,   |F^7,   | x  |G-7,   |C7,   |F^7,   | x  ]Y[*BN1E-7,   |A7,   |D-7,   |G7,   |C^7,   |D-7, G7, |G-7, sC7,F|lC7   }Y[*CN2A^7, Bb^7, |D7,   |G-7,   |Bb-6, A7#5 |F^7, D-7, |G-7, C7 |F^7,   | x  Z "
"A Child Is Born","Thad Jones","","Waltz","Bb","","","0","0","[*AT34Bb^7   |Eb-/Bb   |Bb^7   |Eb-/Bb   |Bb^7   |Eb-/Bb   |Ah7   |D7#9   |G-7   |D7#5   |G-7   |D7#5   |G-7   |C7   |F7sus   |F7   ][*BBb^7   |Eb-/Bb   |Bb^7   |Eb-/Bb   |Bb^7   |D7alt   |Eb^7   |Ab7   |Bb/F   |Gb6   |G-7   |C7   |F7sus   |F7   Z "
"A Felicidade","Antonio-Carlos Jobim","","Bossa Nova","A-","","","0","0","*A{T44A-7(C^7)   | x  |C^7   | x  |E-7   |B7b9   |E-7 <(Repeat Optional)>A7 |D-7 G7 }[*BC^7   | x  |Bh7   |E7b9   |A-7   | x (Ab-7) |G-7   |C7   |F^7   |D-7   |A-7   |D7   |A-7   |Bh7 E7b9 |A-7   |G7   ]*C[C^7 |F7 |C^7 |x |G-7 |C7 |F^7 |x |D-7 |G7 |C^7 |x |F#h7 |B7b9 |sE-7,A7,|D-7,G7,]*D[lA-7   |A-7/G   |D7/F#   |D-7/F   |A-7   |Bh7 E7b9 |A-7   | x  Z "
"A Fine Romance","Jerome Kern","","Medium Swing","C","","","0","0","[*AT44C6   |C#o7   |D-6   |D#o7   |E-7   |A-7   |D-7   |G7   ][*BC6   |Ebo7   |D-7   |G7   |E-7   |A7   |D7   |G7   ][*AC6   |C#o7   |D-6   |D#o7   |E-7   |A-7   |D-7   |G7   ][*CC6   |C7   |F^7   |F#h7 B7 |E-7 A7 |D-7 G7 |C6   |D-7 G7 Z "
"A Flower Is A Lovesome Thing","Billy Strayhorn","","Ballad","Db","","","0","0","{*AT44B7#11   | x  | x  | x  |Bb7b13 Eb7 |Ab7b13 Db7 |D^7 sEb7,D^,|lDb6   }[*BEb-7 Ab7#5 |Db^7   |E-7 A7b9 |D^7   |G#h7 C#7#5 |D^7   |Ab7#11 G7#11 |Gb^7 Ab7#11 ][*AB7#11   | x  | x  | x  |Bb7b13 Eb7 |Ab7b13 Db7 |D^7 sEb7,D^,|lDb6   Z "
"A Foggy Day","George Gershwin","","Medium Swing","F","","","0","0","[*AT44F^7   |F#o7   |G-7   |C7   |F^7   |Dh7   |G7   |C7   ][*BF^7   |C-7 F7 |Bb^7   |Eb7   |A-7   |D7   |G7   |C7   ][*AF^7   |F#o7   |G-7   |C7   |F^7   |Dh7   |G7   |C7   ][*CC-7   |F7   |Bb^7   |Eb7   |F6 G-7 |A-7 Bb-6 |A-7 D7 |G-7 C7 |F6   |G-7 C7 Z "
"A Ghost Of A Chance","Victor Young","","Ballad","C","","","0","0","{*AT44C^7   |Db7#11   |G-7 C7 |F-7 Bb7 |E-7 Ebo7 |D-7 G7 |N1E7 A7 |D-7 G7 }        |N2C^7   |Eh7 A7b9 ][*BD-7   |G7#5   |C^7 G7 |C^7 A-7 |F#h7   |B7b9   |E-7 A7 |D-7 G7#5 ][*AC^7   |Db7#11   |G-7 C7 |F-7 Bb7 |E-7 Ebo7 |D-7 G7 |C^7 A-7 |D-7 G7 Z "
"A Kiss To Build A Dream On","Kalmar-Ruby-Hammerstein","","Medium Swing","C","","","0","0","{*AT44C^7, G+, |C^7, Ebo7, |G7, C#o7, |G7, C#o7, |G7, C#o7, |G7, sD-7,G7|N1lC^7,   |D7, G+ }        |N2C^7, D-7, |Ebo7, C^7/E ]Y[*BF-7, Bb7, |Eb^7, Eo7, |F-7, Bb7, |Eb^7,   |Dh7, G7, |C-7, C-7/Bb, |A-7, D7, |D-7, G7, ]Y[*AC^7, D-7, |E-7, Ebo7 |G7, C#o7, |G7, C#o7, |G7, C#o7, |G7, sD-7,G7|lC^7,   | x  Z "
